               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11198,            0.064578,             0.10488,                   0,                   0,                   0,                   0,             0.10428,             0.04213,             0.10318,              0.0991,              0.0001,              0.0001
                   1,             0.11241,            0.066288,             0.10492,                   0,                   0,                   0,                   0,             0.10349,            0.042625,               0.103,              0.0973,           0.0002997,           0.0002997
                   2,             0.11104,             0.07555,             0.10462,                   0,                   0,                   0,                   0,             0.10276,            0.043159,             0.10278,            0.095499,          0.00049901,          0.00049901
                   3,             0.10916,            0.072739,             0.10454,                   0,                   0,                   0,                   0,             0.10218,            0.043243,             0.10257,            0.093698,          0.00069792,          0.00069792
                   4,             0.10773,            0.075625,             0.10391,                   0,                   0,                   0,                   0,             0.10177,            0.043739,             0.10233,            0.091896,          0.00089644,          0.00089644
                   5,             0.10685,            0.075734,             0.10374,                   0,                   0,                   0,                   0,             0.10149,             0.04409,             0.10214,            0.090095,           0.0010946,           0.0010946
                   6,             0.10654,            0.074933,             0.10329,                   0,                   0,                   0,                   0,             0.10132,              0.0439,             0.10196,            0.088292,           0.0012923,           0.0012923
                   7,             0.10455,            0.070945,              0.1027,                   0,                   0,                   0,                   0,             0.10119,            0.044151,             0.10172,             0.08649,           0.0014896,           0.0014896
                   8,             0.10435,             0.07595,             0.10264,                   0,                   0,                   0,                   0,             0.10106,            0.044357,             0.10153,            0.084687,           0.0016865,           0.0016865
                   9,             0.10382,            0.080843,             0.10188,                   0,                   0,                   0,                   0,             0.10094,             0.04454,             0.10132,            0.082883,           0.0018831,           0.0018831
                  10,             0.10375,             0.07562,             0.10149,                   0,                   0,                   0,                   0,             0.10083,            0.044746,             0.10107,            0.081079,           0.0020792,           0.0020792
                  11,             0.10326,            0.083497,             0.10124,                   0,                   0,                   0,                   0,             0.10072,            0.044907,             0.10089,            0.079275,            0.002275,            0.002275
                  12,             0.10235,            0.075377,             0.10078,                   0,                   0,                   0,                   0,             0.10061,            0.045052,             0.10065,             0.07747,           0.0024703,           0.0024703
                  13,             0.10391,            0.078112,             0.10094,                   0,                   0,                   0,                   0,             0.10052,            0.045197,             0.10043,            0.075665,           0.0026653,           0.0026653
